number,kind,wcag22_status,level,wcag22_en,wcag22_ja,jis2016_ja,wcag20_initial_ja,wcag20_revised_ja,wcag21_ja,wcag22_url,waic_url,workbook_row
1.2.7,success_criterion,active,AAA,Extended Audio Description (Prerecorded),拡張音声解説 (収録済み),拡張音声解説(収録済み)の達成基準,収録済の映像コンテンツの拡張した音声ガイド,拡張音声解説 (収録済) ,拡張音声解説 (収録済),https://www.w3.org/TR/2024/REC-WCAG22-20241212/#extended-audio-description-prerecorded,https://waic.jp/translations/WCAG22/#extended-audio-description-prerecorded,12
1.2.8,success_criterion,active,AAA,Media Alternative (Prerecorded),メディアに対する代替 (収録済み),メディアに対する代替コンテンツ(収録済み)の達成基準,収録済のメディアの代替コンテンツ,メディアに対する代替 (収録済),メディアに対する代替 (収録済),https://www.w3.org/TR/2024/REC-WCAG22-20241212/#media-alternative-prerecorded,https://waic.jp/translations/WCAG22/#media-alternative-prerecorded,13
1.2.9,success_criterion,active,AAA,Audio-only (Live),音声だけ (ライブ),音声だけ(ライブ)の達成基準,ライブの音声しか含まないコンテンツの代替コンテンツ,音声のみ (ライブ),音声のみ (ライブ),https://www.w3.org/TR/2024/REC-WCAG22-20241212/#audio-only-live,https://waic.jp/translations/WCAG22/#audio-only-live,14
1.3,guideline,active,,Adaptable,適応可能,適応可能のガイドライン,適応可能,適応可能,適応可能,https://www.w3.org/TR/2024/REC-WCAG22-20241212/#adaptable,https://waic.jp/translations/WCAG22/#adaptable,15
1.3.1,success_criterion,active,A,Info and Relationships,情報及び関係性,情報及び関係性の達成基準,情報及び関係性,情報及び関係性,情報及び関係性,https://www.w3.org/TR/2024/REC-WCAG22-20241212/#info-and-relationships,https://waic.jp/translations/WCAG22/#info-and-relationships,16
1.3.2,success_criterion,active,A,Meaningful Sequence,意味をなすシーケンス,意味のある順序の達成基準,意味のある順序,意味のある順序,意味のあるシーケンス,https://www.w3.org/TR/2024/REC-WCAG22-20241212/#meaningful-sequence,https://waic.jp/translations/WCAG22/#meaningful-sequence,17
1.3.3,success_criterion,active,A,Sensory Characteristics,感覚による特性,感覚的な特徴の達成基準,感覚的な特徴,感覚的な特徴,感覚的な特徴,https://www.w3.org/TR/2024/REC-WCAG22-20241212/#sensory-characteristics,https://waic.jp/translations/WCAG22/#sensory-characteristics,18
1.3.4,success_criterion,active,AA,Orientation,向き (orientation),,,,表示の向き,https://www.w3.org/TR/2024/REC-WCAG22-20241212/#orientation,https://waic.jp/translations/WCAG22/#orientation,19
1.3.5,success_criterion,active,AA,Identify Input Purpose,入力目的の特定,,,,入力目的の特定,https://www.w3.org/TR/2024/REC-WCAG22-20241212/#identify-input-purpose,https://waic.jp/translations/WCAG22/#identify-input-purpose,20
1.3.6,success_criterion,active,AAA,Identify Purpose,目的の特定,,,,目的の特定,https://www.w3.org/TR/2024/REC-WCAG22-20241212/#identify-purpose,https://waic.jp/translations/WCAG22/#identify-purpose,21
1.4,guideline,active,,Distinguishable,判別可能,判別可能のガイドライン,識別可能,判別可能,判別可能,https://www.w3.org/TR/2024/REC-WCAG22-20241212/#distinguishable,https://waic.jp/translations/WCAG22/#distinguishable,22
1.4.1,success_criterion,active,A,Use of Color,色の用途,色の使用の達成基準,色の使用,色の使用,色の使用,https://www.w3.org/TR/2024/REC-WCAG22-20241212/#use-of-color,https://waic.jp/translations/WCAG22/#use-of-color,23
1.4.2,success_criterion,active,A,Audio Control,音声の制御,音声の制御の達成基準,音声制御,音声の制御,音声の制御,https://www.w3.org/TR/2024/REC-WCAG22-20241212/#audio-control,https://waic.jp/translations/WCAG22/#audio-control,24
1.4.3,success_criterion,active,AA,Contrast (Minimum),コントラスト (最低限),コントラスト(最低限レベル)の達成基準,最低限のコントラスト,コントラスト (最低限) ,コントラスト (最低限),https://www.w3.org/TR/2024/REC-WCAG22-20241212/#contrast-minimum,https://waic.jp/translations/WCAG22/#contrast-minimum,25
1.4.4,success_criterion,active,AA,Resize Text,テキストのサイズ変更,テキストのサイズ変更の達成基準,テキストのサイズ変更,テキストのサイズ変更,テキストのサイズ変更,https://www.w3.org/TR/2024/REC-WCAG22-20241212/#resize-text,https://waic.jp/translations/WCAG22/#resize-text,26
1.4.5,success_criterion,active,AA,Images of Text,文字画像,文字画像の達成基準,画像化された文字,文字画像,文字画像,https://www.w3.org/TR/2024/REC-WCAG22-20241212/#images-of-text,https://waic.jp/translations/WCAG22/#images-of-text,27
1.4.6,success_criterion,active,AAA,Contrast (Enhanced),コントラスト (高度),コントラスト(高度レベル)の達成基準,より十分なコントラスト,コントラスト (高度),コントラスト (高度),https://www.w3.org/TR/2024/REC-WCAG22-20241212/#contrast-enhanced,https://waic.jp/translations/WCAG22/#contrast-enhanced,28
1.4.7,success_criterion,active,AAA,Low or No Background Audio,背景音の小さい又はない音声,小さな背景音，又は背景音なしの達成基準,小さい背景音又は背景音なし,小さな背景音、又は背景音なし,小さな背景音、又は背景音なし,https://www.w3.org/TR/2024/REC-WCAG22-20241212/#low-or-no-background-audio,https://waic.jp/translations/WCAG22/#low-or-no-background-audio,29
1.4.8,success_criterion,active,AAA,Visual Presentation,視覚的提示,視覚的提示の達成基準,視覚的な表現,視覚的提示,視覚的提示,https://www.w3.org/TR/2024/REC-WCAG22-20241212/#visual-presentation,https://waic.jp/translations/WCAG22/#visual-presentation,30
1.4.9,success_criterion,active,AAA,Images of Text (No Exception),文字画像 (例外なし),文字画像(例外なし)の達成基準,画像化された文字（例外なし）,文字画像 (例外なし),文字画像 (例外なし),https://www.w3.org/TR/2024/REC-WCAG22-20241212/#images-of-text-no-exception,https://waic.jp/translations/WCAG22/#images-of-text-no-exception,31
1.4.10,success_criterion,active,AA,Reflow,リフロー,,,,リフロー,https://www.w3.org/TR/2024/REC-WCAG22-20241212/#reflow,https://waic.jp/translations/WCAG22/#reflow,32
1.4.11,success_criterion,active,AA,Non-text Contrast,非テキストのコントラスト,,,,非テキストのコントラスト,https://www.w3.org/TR/2024/REC-WCAG22-20241212/#non-text-contrast,https://waic.jp/translations/WCAG22/#non-text-contrast,33
1.4.12,success_criterion,active,AA,Text Spacing,テキストの間隔,,,,テキストの間隔,https://www.w3.org/TR/2024/REC-WCAG22-20241212/#text-spacing,https://waic.jp/translations/WCAG22/#text-spacing,34
1.4.13,success_criterion,active,AA,Content on Hover or Focus,ホバー時又はフォーカス時のコンテンツ,,,,ホバー又はフォーカスで表示されるコンテンツ,https://www.w3.org/TR/2024/REC-WCAG22-20241212/#content-on-hover-or-focus,https://waic.jp/translations/WCAG22/#content-on-hover-or-focus,35
2,principle,active,,Operable,操作可能,操作可能の原則,操作可能,操作可能,操作可能,https://www.w3.org/TR/2024/REC-WCAG22-20241212/#operable,https://waic.jp/translations/WCAG22/#operable,36
2.1,guideline,active,,Keyboard Accessible,キーボードアクセス可能,キーボード操作可能のガイドライン,キーボード操作可能,キーボード操作可能,キーボード操作可能,https://www.w3.org/TR/2024/REC-WCAG22-20241212/#keyboard-accessible,https://waic.jp/translations/WCAG22/#keyboard-accessible,37
2.1.1,success_criterion,active,A,Keyboard,キーボード,キーボードの達成基準,キーボード操作,キーボード,キーボード,https://www.w3.org/TR/2024/REC-WCAG22-20241212/#keyboard,https://waic.jp/translations/WCAG22/#keyboard,38
2.1.2,success_criterion,active,A,No Keyboard Trap,キーボードトラップなし,キーボードトラップなしの達成基準,フォーカス移動,キーボードトラップなし,キーボードトラップなし,https://www.w3.org/TR/2024/REC-WCAG22-20241212/#no-keyboard-trap,https://waic.jp/translations/WCAG22/#no-keyboard-trap,39
2.1.3,success_criterion,active,AAA,Keyboard (No Exception),キーボード (例外なし),キーボード(例外なし)の達成基準,キーボード操作（例外なし）,キーボード (例外なし),キーボード (例外なし),https://www.w3.org/TR/2024/REC-WCAG22-20241212/#keyboard-no-exception,https://waic.jp/translations/WCAG22/#keyboard-no-exception,40
2.1.4,success_criterion,active,A,Character Key Shortcuts,文字キーによるショートカット,,,,文字キーのショートカット,https://www.w3.org/TR/2024/REC-WCAG22-20241212/#character-key-shortcuts,https://waic.jp/translations/WCAG22/#character-key-shortcuts,41
2.2,guideline,active,,Enough Time,十分な時間,十分な時間のガイドライン,十分な時間,十分な時間,十分な時間,https://www.w3.org/TR/2024/REC-WCAG22-20241212/#enough-time,https://waic.jp/translations/WCAG22/#enough-time,42
2.2.1,success_criterion,active,A,Timing Adjustable,期限調節可能,タイミング調整可能の達成基準,調整可能な制限時間,タイミング調整可能,タイミング調整可能,https://www.w3.org/TR/2024/REC-WCAG22-20241212/#timing-adjustable,https://waic.jp/translations/WCAG22/#timing-adjustable,43
2.2.2,success_criterion,active,A,"Pause, Stop, Hide",一時停止・停止・非表示,一時停止，停止及び非表示の達成基準,一時停止、停止、非表示,一時停止、停止、非表示,一時停止、停止、非表示,https://www.w3.org/TR/2024/REC-WCAG22-20241212/#pause-stop-hide,https://waic.jp/translations/WCAG22/#pause-stop-hide,44
2.2.3,success_criterion,active,AAA,No Timing,期限なし,タイミング非依存の達成基準,制限時間なし,タイミング非依存,タイミング非依存,https://www.w3.org/TR/2024/REC-WCAG22-20241212/#no-timing,https://waic.jp/translations/WCAG22/#no-timing,45
2.2.4,success_criterion,active,AAA,Interruptions,割込み,割込みの達成基準,中断,割り込み,割り込み,https://www.w3.org/TR/2024/REC-WCAG22-20241212/#interruptions,https://waic.jp/translations/WCAG22/#interruptions,46
2.2.5,success_criterion,active,AAA,Re-authenticating,再認証,再認証の達成基準,再認証,再認証,再認証,https://www.w3.org/TR/2024/REC-WCAG22-20241212/#re-authenticating,https://waic.jp/translations/WCAG22/#re-authenticating,47
2.2.6,success_criterion,active,AAA,Timeouts,タイムアウト,,,,タイムアウト,https://www.w3.org/TR/2024/REC-WCAG22-20241212/#timeouts,https://waic.jp/translations/WCAG22/#timeouts,48
2.3,guideline,active,,Seizures and Physical Reactions,発作及び身体的反応,発作の防止のガイドライン,発作の防止,発作の防止,発作と身体的反応,https://www.w3.org/TR/2024/REC-WCAG22-20241212/#seizures-and-physical-reactions,https://waic.jp/translations/WCAG22/#seizures-and-physical-reactions,49
2.3.1,success_criterion,active,A,Three Flashes or Below Threshold,3 回の閃光、又は閾値以下,3 回のせん(閃)光，又はしきい(閾)値以下の達成基準,3回の閃光又は閾値以下,3 回の閃光、又は閾値以下,3 回の閃光、又は閾値以下,https://www.w3.org/TR/2024/REC-WCAG22-20241212/#three-flashes-or-below-threshold,https://waic.jp/translations/WCAG22/#three-flashes-or-below-threshold,50
2.3.2,success_criterion,active,AAA,Three Flashes,3 回の閃光,3 回のせん(閃)光の達成基準,3回の閃光,3 回の閃光,3 回の閃光,https://www.w3.org/TR/2024/REC-WCAG22-20241212/#three-flashes,https://waic.jp/translations/WCAG22/#three-flashes,51
2.3.3,success_criterion,active,AAA,Animation from Interactions,インタラクションによるアニメーション,,,,インタラクションによるアニメーション,https://www.w3.org/TR/2024/REC-WCAG22-20241212/#animation-from-interactions,https://waic.jp/translations/WCAG22/#animation-from-interactions,52
2.4,guideline,active,,Navigable,ナビゲート可能,ナビゲーション可能のガイドライン,ナビゲーション可能,ナビゲーション可能,ナビゲーション可能,https://www.w3.org/TR/2024/REC-WCAG22-20241212/#navigable,https://waic.jp/translations/WCAG22/#navigable,53
2.4.1,success_criterion,active,A,Bypass Blocks,ブロックのバイパス,ブロックスキップの達成基準,ブロック・スキップ,ブロックスキップ,ブロックスキップ,https://www.w3.org/TR/2024/REC-WCAG22-20241212/#bypass-blocks,https://waic.jp/translations/WCAG22/#bypass-blocks,54
2.4.2,success_criterion,active,A,Page Titled,ページタイトル,ページタイトルの達成基準,ページタイトル,ページタイトル,ページタイトル,https://www.w3.org/TR/2024/REC-WCAG22-20241212/#page-titled,https://waic.jp/translations/WCAG22/#page-titled,55
2.4.3,success_criterion,active,A,Focus Order,フォーカス順序,フォーカス順序の達成基準,フォーカス順序,フォーカス順序,フォーカス順序,https://www.w3.org/TR/2024/REC-WCAG22-20241212/#focus-order,https://waic.jp/translations/WCAG22/#focus-order,56
2.4.4,success_criterion,active,A,Link Purpose (In Context),リンクの目的 (文脈内),リンクの目的(コンテキスト内)の達成基準,文脈におけるリンクの目的,リンクの目的 (コンテキスト内),リンクの目的 (コンテキスト内),https://www.w3.org/TR/2024/REC-WCAG22-20241212/#link-purpose-in-context,https://waic.jp/translations/WCAG22/#link-purpose-in-context,57
2.4.5,success_criterion,active,AA,Multiple Ways,複数の経路,複数の手段の達成基準,複数の到達手段,複数の手段,複数の手段,https://www.w3.org/TR/2024/REC-WCAG22-20241212/#multiple-ways,https://waic.jp/translations/WCAG22/#multiple-ways,58
2.4.6,success_criterion,active,AA,Headings and Labels,見出し及びラベル,見出し及びラベルの達成基準,見出し及びラベル,見出し及びラベル,見出し及びラベル,https://www.w3.org/TR/2024/REC-WCAG22-20241212/#headings-and-labels,https://waic.jp/translations/WCAG22/#headings-and-labels,59
2.4.7,success_criterion,active,AA,Focus Visible,フォーカスの可視化,フォーカスの可視化の達成基準,視覚的に認識可能なフォーカス,フォーカスの可視化,フォーカスの可視化,https://www.w3.org/TR/2024/REC-WCAG22-20241212/#focus-visible,https://waic.jp/translations/WCAG22/#focus-visible,60
2.4.8,success_criterion,active,AAA,Location,現在位置,現在位置の達成基準,現在位置,現在位置,現在位置,https://www.w3.org/TR/2024/REC-WCAG22-20241212/#location,https://waic.jp/translations/WCAG22/#location,61
2.4.9,success_criterion,active,AAA,Link Purpose (Link Only),リンクの目的 (リンクだけ),リンクの目的(リンクだけ)の達成基準,リンクの目的,リンクの目的 (リンクのみ),リンクの目的 (リンクのみ),https://www.w3.org/TR/2024/REC-WCAG22-20241212/#link-purpose-link-only,https://waic.jp/translations/WCAG22/#link-purpose-link-only,62
2.4.10,success_criterion,active,AAA,Section Headings,セクション見出し,セクション見出しの達成基準,セクション見出し,セクション見出し,セクション見出し,https://www.w3.org/TR/2024/REC-WCAG22-20241212/#section-headings,https://waic.jp/translations/WCAG22/#section-headings,63
2.4.11,success_criterion,active,AA,Focus Not Obscured (Minimum),隠されないフォーカス (最低限),,,,,https://www.w3.org/TR/2024/REC-WCAG22-20241212/#focus-not-obscured-minimum,https://waic.jp/translations/WCAG22/#focus-not-obscured-minimum,64
2.4.12,success_criterion,active,AAA,Focus Not Obscured (Enhanced),隠されないフォーカス (高度),,,,,https://www.w3.org/TR/2024/REC-WCAG22-20241212/#focus-not-obscured-enhanced,https://waic.jp/translations/WCAG22/#focus-not-obscured-enhanced,65
2.4.13,success_criterion,active,AAA,Focus Appearance,フォーカスの外観,,,,,https://www.w3.org/TR/2024/REC-WCAG22-20241212/#focus-appearance,https://waic.jp/translations/WCAG22/#focus-appearance,66
2.5,guideline,active,,Input Modalities,入力モダリティ,,,,入力モダリティ,https://www.w3.org/TR/2024/REC-WCAG22-20241212/#input-modalities,https://waic.jp/translations/WCAG22/#input-modalities,67
2.5.1,success_criterion,active,A,Pointer Gestures,ポインタジェスチャ,,,,ポインタのジェスチャ,https://www.w3.org/TR/2024/REC-WCAG22-20241212/#pointer-gestures,https://waic.jp/translations/WCAG22/#pointer-gestures,68
2.5.2,success_criterion,active,A,Pointer Cancellation,ポインタキャンセル,,,,ポインタのキャンセル,https://www.w3.org/TR/2024/REC-WCAG22-20241212/#pointer-cancellation,https://waic.jp/translations/WCAG22/#pointer-cancellation,69
2.5.3,success_criterion,active,A,Label in Name,ラベルを含む名前 (name),,,,ラベルを含む名前 (name),https://www.w3.org/TR/2024/REC-WCAG22-20241212/#label-in-name,https://waic.jp/translations/WCAG22/#label-in-name,70
2.5.4,success_criterion,active,A,Motion Actuation,動きによる起動,,,,動きによる起動,https://www.w3.org/TR/2024/REC-WCAG22-20241212/#motion-actuation,https://waic.jp/translations/WCAG22/#motion-actuation,71
2.5.5,success_criterion,active,AAA,Target Size (Enhanced),ターゲットのサイズ (高度),,,,ターゲットのサイズ,https://www.w3.org/TR/2024/REC-WCAG22-20241212/#target-size-enhanced,https://waic.jp/translations/WCAG22/#target-size-enhanced,72
2.5.6,success_criterion,active,AAA,Concurrent Input Mechanisms,入力メカニズムの共存,,,,入力メカニズムの共存,https://www.w3.org/TR/2024/REC-WCAG22-20241212/#concurrent-input-mechanisms,https://waic.jp/translations/WCAG22/#concurrent-input-mechanisms,73
2.5.7,success_criterion,active,AA,Dragging Movements,ドラッグ動作,,,,,https://www.w3.org/TR/2024/REC-WCAG22-20241212/#dragging-movements,https://waic.jp/translations/WCAG22/#dragging-movements,74
2.5.8,success_criterion,active,AA,Target Size (Minimum),ターゲットのサイズ (最低限),,,,,https://www.w3.org/TR/2024/REC-WCAG22-20241212/#target-size-minimum,https://waic.jp/translations/WCAG22/#target-size-minimum,75
3,principle,active,,Understandable,理解可能,理解可能の原則,理解可能,理解可能,理解可能,https://www.w3.org/TR/2024/REC-WCAG22-20241212/#understandable,https://waic.jp/translations/WCAG22/#understandable,76
3.1,guideline,active,,Readable,判読可能,読みやすさのガイドライン,読みやすさ,読みやすさ,読み取り可能,https://www.w3.org/TR/2024/REC-WCAG22-20241212/#readable,https://waic.jp/translations/WCAG22/#readable,77
3.1.1,success_criterion,active,A,Language of Page,ページの言語,ページの言語の達成基準,ページの言語,ページの言語,ページの言語,https://www.w3.org/TR/2024/REC-WCAG22-20241212/#language-of-page,https://waic.jp/translations/WCAG22/#language-of-page,78
3.1.2,success_criterion,active,AA,Language of Parts,一部分の言語,一部分の言語の達成基準,部分的に用いられている言語,一部分の言語,一部分の言語,https://www.w3.org/TR/2024/REC-WCAG22-20241212/#language-of-parts,https://waic.jp/translations/WCAG22/#language-of-parts,79
3.1.3,success_criterion,active,AAA,Unusual Words,一般的ではない用語,一般的ではない用語の達成基準,一般的ではない用語,一般的ではない用語,一般的ではない用語,https://www.w3.org/TR/2024/REC-WCAG22-20241212/#unusual-words,https://waic.jp/translations/WCAG22/#unusual-words,80
3.1.4,success_criterion,active,AAA,Abbreviations,略語,略語の達成基準,略語,略語,略語,https://www.w3.org/TR/2024/REC-WCAG22-20241212/#abbreviations,https://waic.jp/translations/WCAG22/#abbreviations,81
3.1.5,success_criterion,active,AAA,Reading Level,読解レベル,読解レベルの達成基準,読解レベル,読解レベル,読解レベル,https://www.w3.org/TR/2024/REC-WCAG22-20241212/#reading-level,https://waic.jp/translations/WCAG22/#reading-level,82
3.1.6,success_criterion,active,AAA,Pronunciation,発音,発音の達成基準,発音及び読み仮名,発音,発音,https://www.w3.org/TR/2024/REC-WCAG22-20241212/#pronunciation,https://waic.jp/translations/WCAG22/#pronunciation,83
3.2,guideline,active,,Predictable,予測可能,予測可能のガイドライン,予測可能,予測可能,予測可能,https://www.w3.org/TR/2024/REC-WCAG22-20241212/#predictable,https://waic.jp/translations/WCAG22/#predictable,84
3.2.1,success_criterion,active,A,On Focus,フォーカス時,フォーカス時の達成基準,オン・フォーカス,フォーカス時,フォーカス時,https://www.w3.org/TR/2024/REC-WCAG22-20241212/#on-focus,https://waic.jp/translations/WCAG22/#on-focus,85
3.2.2,success_criterion,active,A,On Input,入力時,入力時の達成基準,ユーザインタフェース・コンポーネントによる状況の変化,入力時,入力時,https://www.w3.org/TR/2024/REC-WCAG22-20241212/#on-input,https://waic.jp/translations/WCAG22/#on-input,86
3.2.3,success_criterion,active,AA,Consistent Navigation,一貫したナビゲーション,一貫したナビゲーションの達成基準,一貫したナビゲーション,一貫したナビゲーション,一貫したナビゲーション,https://www.w3.org/TR/2024/REC-WCAG22-20241212/#consistent-navigation,https://waic.jp/translations/WCAG22/#consistent-navigation,87
3.2.4,success_criterion,active,AA,Consistent Identification,一貫した識別性,一貫した識別性の達成基準,一貫した識別性,一貫した識別性,一貫した識別性,https://www.w3.org/TR/2024/REC-WCAG22-20241212/#consistent-identification,https://waic.jp/translations/WCAG22/#consistent-identification,88
3.2.5,success_criterion,active,AAA,Change on Request,要求による変化,要求による変化の達成基準,利用者の要求による状況の変化,要求による変化,要求による変化,https://www.w3.org/TR/2024/REC-WCAG22-20241212/#change-on-request,https://waic.jp/translations/WCAG22/#change-on-request,89
3.2.6,success_criterion,active,A,Consistent Help,一貫したヘルプ,,,,,https://www.w3.org/TR/2024/REC-WCAG22-20241212/#consistent-help,https://waic.jp/translations/WCAG22/#consistent-help,90
3.3,guideline,active,,Input Assistance,入力支援,入力支援のガイドライン,入力支援,入力支援,入力支援,https://www.w3.org/TR/2024/REC-WCAG22-20241212/#input-assistance,https://waic.jp/translations/WCAG22/#input-assistance,91
3.3.1,success_criterion,active,A,Error Identification,エラーの特定,エラーの特定の達成基準,入力エラー箇所の特定,エラーの特定,エラーの特定,https://www.w3.org/TR/2024/REC-WCAG22-20241212/#error-identification,https://waic.jp/translations/WCAG22/#error-identification,92
3.3.2,success_criterion,active,A,Labels or Instructions,ラベル又は指示,ラベル又は説明の達成基準,ラベル又は説明文,ラベル又は説明,ラベル又は説明,https://www.w3.org/TR/2024/REC-WCAG22-20241212/#labels-or-instructions,https://waic.jp/translations/WCAG22/#labels-or-instructions,93
3.3.3,success_criterion,active,AA,Error Suggestion,エラーの修正提案,エラー修正の提案の達成基準,入力エラー修正方法の提示,エラー修正の提案,エラー修正の提案,https://www.w3.org/TR/2024/REC-WCAG22-20241212/#error-suggestion,https://waic.jp/translations/WCAG22/#error-suggestion,94
3.3.4,success_criterion,active,AA,"Error Prevention (Legal, Financial, Data)",誤り防止 (法的・金融・データ),エラー回避(法的，金融及びデータ)の達成基準,法的義務・金銭的取引・データ変更・回答送信のエラー回避,エラー回避 (法的、金融、データ),誤り防止 (法的、金融、データ),https://www.w3.org/TR/2024/REC-WCAG22-20241212/#error-prevention-legal-financial-data,https://waic.jp/translations/WCAG22/#error-prevention-legal-financial-data,95
3.3.5,success_criterion,active,AAA,Help,ヘルプ,ヘルプの達成基準,ヘルプ,ヘルプ,ヘルプ,https://www.w3.org/TR/2024/REC-WCAG22-20241212/#help,https://waic.jp/translations/WCAG22/#help,96
3.3.6,success_criterion,active,AAA,Error Prevention (All),誤り防止 (全て),エラー回避(全て)の達成基準,エラー回避に関する例外なし,エラー回避 (すべて),誤り防止 (すべて),https://www.w3.org/TR/2024/REC-WCAG22-20241212/#error-prevention-all,https://waic.jp/translations/WCAG22/#error-prevention-all,97
3.3.7,success_criterion,active,A,Redundant Entry,冗長な入力項目,,,,,https://www.w3.org/TR/2024/REC-WCAG22-20241212/#redundant-entry,https://waic.jp/translations/WCAG22/#redundant-entry,98
3.3.8,success_criterion,active,AA,Accessible Authentication (Minimum),アクセシブルな認証 (最低限),,,,,https://www.w3.org/TR/2024/REC-WCAG22-20241212/#accessible-authentication-minimum,https://waic.jp/translations/WCAG22/#accessible-authentication-minimum,99
3.3.9,success_criterion,active,AAA,Accessible Authentication (Enhanced),アクセシブルな認証 (高度),,,,,https://www.w3.org/TR/2024/REC-WCAG22-20241212/#accessible-authentication-enhanced,https://waic.jp/translations/WCAG22/#accessible-authentication-enhanced,100
4,principle,active,,Robust,堅牢 (robust),堅ろう(牢)(Robust)の原則,堅牢性,堅牢 (robust),堅牢 (robust),https://www.w3.org/TR/2024/REC-WCAG22-20241212/#robust,https://waic.jp/translations/WCAG22/#robust,101
4.1,guideline,active,,Compatible,互換性,互換性のガイドライン,互換性,互換性,互換性,https://www.w3.org/TR/2024/REC-WCAG22-20241212/#compatible,https://waic.jp/translations/WCAG22/#compatible,102
4.1.1,success_criterion,obsolete_in_2.2,,Parsing (Obsolete and removed),構文解析 (廃止及び削除),構文解析の達成基準,構文解析,構文解析,構文解析,https://www.w3.org/TR/2024/REC-WCAG22-20241212/#parsing,https://waic.jp/translations/WCAG22/#parsing,103
4.1.2,success_criterion,active,A,"Name, Role, Value",名前 (name)・役割 (role)・値 (value),名前(name)，役割(role)及び値(value)の達成基準,プログラムが解釈可能な識別名・役割及び設定可能な値,名前 (name) ・役割 (role) 及び値 (value),名前 (name)・役割 (role)・値 (value),https://www.w3.org/TR/2024/REC-WCAG22-20241212/#name-role-value,https://waic.jp/translations/WCAG22/#name-role-value,104
4.1.3,success_criterion,active,AA,Status Messages,ステータスメッセージ,,,,ステータスメッセージ,https://www.w3.org/TR/2024/REC-WCAG22-20241212/#status-messages,https://waic.jp/translations/WCAG22/#status-messages,105
5,conformance_section,active,,Conformance,適合,適合,,,,https://www.w3.org/TR/2024/REC-WCAG22-20241212/#conformance,https://waic.jp/translations/WCAG22/#conformance,107
